,playbackTime,curTime,renderTime,cameraX,cameraY,cameraZ,HPTime,curHP,maxHP,isDead
1638,1616313869317,743.7958984375,1616313869317,8575.11328125,1911.8480224609375,7776.9306640625,1616313869324,1166,1197,False
1639,1616313869399,744.129150390625,1616313869399,8608.2138671875,1911.8480224609375,7767.865234375,1616313869404,1168,1197,False
1640,1616313869484,744.462158203125,1616313869483,8577.55859375,1911.8480224609375,7712.556640625,1616313869499,1168,1197,False
1641,1616313869582,744.8637084960938,1616313869583,8492.65625,1911.8480224609375,7611.2470703125,1616313869590,1169,1197,False
1642,1616313869665,745.1961059570312,1616313869666,8389.224609375,1911.8480224609375,7489.0947265625,1616313869672,1171,1197,False
1643,1616313869751,745.5292358398438,1616313869752,8303.11328125,1911.8480224609375,7389.318359375,1616313869762,1172,1197,False
1644,1616313869832,745.8623657226562,1616313869848,8218.7412109375,1911.8480224609375,7247.671875,1616313869855,1172,1197,False
1645,1616313869931,746.2623901367188,1616313869932,8143.8203125,1911.8480224609375,7138.9345703125,1616313869940,1174,1197,False
1646,1616313870016,746.5953979492188,1616313870016,8062.02685546875,1911.8480224609375,7043.4306640625,1616313870026,1175,1197,False
1647,1616313870092,746.862548828125,1616313870114,7956.42041015625,1911.8480224609375,6938.48046875,1616313870109,1175,1197,False
1648,1616313870201,747.3290405273438,1616313870201,7873.69287109375,1911.8480224609375,6850.64697265625,1616313870212,1177,1197,False
1649,1616313870301,747.7296752929688,1616313870302,7906.26708984375,1911.8480224609375,6724.76416015625,1616313870316,1178,1197,False
1650,1616313870416,748.1954956054688,1616313870416,7930.98486328125,1911.8480224609375,6641.939453125,1616313870396,1180,1197,False
1651,1616313870499,748.5289916992188,1616313870500,7969.7958984375,1911.8480224609375,6609.08203125,1616313870507,1181,1197,False
1652,1616313870583,748.8619995117188,1616313870583,8040.5810546875,1911.8480224609375,6529.73876953125,1616313870596,1181,1197,False
1653,1616313870682,749.2632446289062,1616313870682,7918.63330078125,1911.8480224609375,6514.87060546875,1616313870689,1183,1197,False
1654,1616313870766,749.597900390625,1616313870766,7798.2822265625,1911.8480224609375,6613.95361328125,1616313870776,1184,1197,False
1655,1616313870849,749.9293212890625,1616313870849,7831.34375,1911.8480224609375,6629.42333984375,1616313870857,1184,1197,False
1656,1616313870915,750.1953125,1616313870932,7882.435546875,1911.8480224609375,6581.5908203125,1616313870939,1186,1197,False
1657,1616313871033,750.663330078125,1616313871010,7917.1171875,1911.8480224609375,6637.06494140625,1616313871033,1187,1197,False
1658,1616313871132,751.0618896484375,1616313871132,7967.69873046875,1911.8480224609375,6768.6328125,1616313871126,1189,1197,False
1659,1616313871217,751.3955688476562,1616313871217,7965.6201171875,1911.8480224609375,6764.2236328125,1616313871224,1189,1197,False
1660,1616313871314,751.7952270507812,1616313871288,7977.72509765625,1911.8480224609375,6767.7080078125,1616313871311,1190,1197,False
1661,1616313871399,752.1287841796875,1616313871400,8070.46728515625,1911.8480224609375,6829.142578125,1616313871408,1192,1197,False
1662,1616313871499,752.5286254882812,1616313871499,8206.9814453125,1911.8480224609375,6981.599609375,1616313871484,1110,1197,False
1663,1616313871583,752.86376953125,1616313871583,8260.4599609375,1911.8480224609375,7105.1484375,1616313871591,1111,1197,False
1664,1616313871666,753.1954345703125,1616313871666,8299.9697265625,1911.8480224609375,7190.9970703125,1616313871673,1113,1197,False
1665,1616313871750,753.5305786132812,1616313871751,8269.1943359375,1911.8480224609375,7182.1376953125,1616313871763,1118,1197,False
1666,1616313871850,753.9298706054688,1616313871850,8182.4599609375,1911.8480224609375,7138.8681640625,1616313871858,1118,1197,False
1667,1616313871932,754.2620849609375,1616313871932,8064.66064453125,1911.8480224609375,7037.513671875,1616313871941,1119,1197,False
1668,1616313872017,754.59716796875,1616313872017,7950.53857421875,1911.8480224609375,6893.69140625,1616313872026,920,1197,False
1669,1616313872098,754.9283447265625,1616313872099,7963.115234375,1911.8480224609375,6741.40771484375,1616313872109,873,1197,False
1670,1616313872182,755.2621459960938,1616313872182,8085.44873046875,1911.8480224609375,6580.02880859375,1616313872192,781,1197,False
1671,1616313872268,755.6036376953125,1616313872268,8145.70703125,1911.8480224609375,6582.8154296875,1616313872278,959,1197,False
1672,1616313872355,755.9459228515625,1616313872354,8172.51953125,1911.8480224609375,6616.8134765625,1616313872378,710,1197,False
1673,1616313872468,756.3956298828125,1616313872468,8171.521484375,1911.8480224609375,6649.873046875,1616313872482,710,1197,False
1674,1616313872567,756.7963256835938,1616313872567,8157.14453125,1911.8480224609375,6679.6142578125,1616313872577,713,1197,False
