comment,youtube_id,date,like_num
지효언니 저런스타일의 숏컷이 필요했어도 컷팅 능력에 따라 느낌이 확확 다르다는거 알거임.. 근데 저건 마치 실력없이 노른자땅 버프받은 헤어샵에서나 자를거 같아..,도고,3일 전,6
ㅋㅋㅋㅋ 지석진 퍼렐 윌리엄스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 코디가 이젠 옷부터 먹고 들어가게 해서 좋음 ㅋㅋㅋ,ᄇᄀᄌ,5일 전,16
기사 사진부터 불안불안했는데 지효언니 머리 누가 자른진 몰라도 진짜 얼굴이 살린줄 알아라ㅠ 저게 뭐야 내가 다 속상해 차라리 성별 반전 어플써서 방송에 보여줬을때처럼 쉼표머리로 앞머리를 까던가..... 진짜 언니가 귀여워서 참는다ㅠ,김화성,5일 전,486
지석진 오빠 스타일리스트가 지효언니 스타일리스트보다 나은것 같아요…ㅠㅠㅠㅠㅠㅠ소민언니 오프닝때 컨셉 맞게 진짜 이쁜데ㅠㅠ 울 지효언니도 제발 이쁘게 해주세요ㅠㅠㅠㅠ,늦깎이엔조잉,4일 전,7
와 진짜 웃고 집중하고 그런데 어느덧 마지막 게임... 솔직히 요즘 예능 1시간 이상 되는 것들 꽤 있는데.. 그런데 런닝맨은 1시간 30분.... 그냥 처음부터 끝까지 계속 웃고 집중된다 이거밖에 볼께 없어요 화이팅입니다!!!,JM K,5일 전,32
석진이형의 성인용 기저귀 모델 데뷔를 기원 합니다♡♡ㅋㅋ,정동영,5일 전,40
지효누나 숏컷하니 되게 잘생겼네... 형이라도 불러도 되는건가..,보겸Av배우,5일 전,5
No matter what kind of hairstyle or clothes Jihyo wear she always looks stunning.,Angelica Canubida,4일 전,3
지효님은..머리가 짧건 길건 앞머리가 없는 게 더 이쁜 이마를 부각시켜..보기좋음.,민정 김,4일 전,5
진짜 저 머리 미용실에서 숏컷이라고 저렇게 자르면 욕먹임 ㅋㅋ 아니 하다못해 저번에 앞머리 자른 거만 봐도 알 수 있는 거 아님? 지효언니도 별로 안 자르고 싶어했는데 잘라놓고선 고데기도 안 하고 길이도 듬성듬성 잘랐잖아 ㅋㅋ 집에서 걍 잘라도 그거보단 나음 ㅋㅋ 하다못해 기본적인 고데기도 안 하고 나와서 기겁했는데 이번 숏컷보고는 걍 할 말을 잃었음진짜 오래된 관계라 못 바꾸는 거 이해하는데 본인이 다른 광고나 cf 촬영한 거 사진 보면 진짜 개이쁨.... 굳이 돈 대주면서 본인을 더 저하시키게 스타일링하는 헤메코랑 같이 다니는 건 이제는 좀 다시 고려해봐야하지 않을까싶음 ㅋㅋ.... 저 머리 구렛나루 보셈 기겁함 ㅋㅋ 기안84 투구머리 구렛나루보다 심함 ㅋㅋ,쩝쩝박사,5일 전,341
